node1,node2,jaccard_coef,adar_index,shortest_path,follows_back,page_rank_n1,page_rank_n2,katz_n1,katz_n2,hubs_n1,hubs_n2,authorities_n1,authorities_n2,num_followers_node1,num_followers_node2,num_followees_node1,num_followees_node2,inter_followers,inter_followees,cos_sim,link
306,308,0.0625,1.5221526679301567,2,0,0.0009158627609795068,0.0009207658240547339,0.031975422911430344,0.03329530195845308,0.001783242014143592,0.0016641525232468678,0.0011937830474123975,0.0019333308609644738,12,17,20,11,1,2,-0.217,0.0
917,918,0.4074074074074074,7.874653109098094,2,0,0.0007155275930258055,0.0006895194291190522,0.030158260921251002,0.030310958385244113,0.0007148212700469779,0.0006436459962395105,0.00041834011202178113,0.0004250463491343334,6,10,15,7,1,4,0.939,0.0
49,989,0.0,0.0,4,0,0.0009845626707732785,0.0017888390103814073,0.029564956577689667,0.028393073712501875,0.0003390730142456111,1.9256602187772073e-06,0.00023792698367953698,9.051273095163058e-05,7,2,7,0,0,0,-0.045,0.0
222,256,0.0410958904109589,1.5694996141631323,2,0,0.001678270302787429,0.003133532651299793,0.03670749923650205,0.04539531680913925,0.0018180417392641016,0.0028978644617261725,0.0027310630472569403,0.005537348981436346,33,63,27,27,9,1,0.12,0.0
270,384,0.0,0.0,3,0,0.0005328645845672764,0.0006208283379787086,0.02994712740030469,0.03051298309431365,0.0005786751051712231,0.0,0.0007295906700602176,0.0005429047994964542,6,11,6,0,0,0,0.307,0.0
397,397,1.0,16.986514263686768,0,0,0.0013127882512267458,0.0013127882512267458,0.03244768122614016,0.03244768122614016,0.0006729423849317066,0.0006729423849317066,0.0007814960242633345,0.0007814960242633345,17,17,19,19,17,19,1.0,0.0
899,185,0.0,0.0,-1,0,0.0010214504596527093,0.0005263914383190838,0.03168690897115153,0.029007552538337446,0.0,0.00045726041477941125,0.0,0.00013269109786201875,0,5,0,8,0,0,-1.0,0.0
954,327,0.0,0.0,3,0,0.0003809751744597343,0.0010907295320670748,0.02909140492790463,0.03261928542491249,0.00023420522072130272,0.0013307069529785369,0.00048689887985347777,0.0016442479904413638,4,15,2,9,0,0,0.349,0.0
217,162,0.17073170731707318,6.095173882490562,2,0,0.0006085868443101876,0.001418404323676744,0.029646997146161494,0.03487094146309894,0.0007839311057303461,0.001397087465489716,0.0004548595804130803,0.0020908011766906562,7,26,13,22,2,3,0.811,0.0
63,132,0.2692307692307692,16.17852102007686,2,1,0.00273229960679553,0.0015289305301218199,0.04247314382416486,0.03643537569939874,0.005224213656311343,0.00304766946500329,0.0042393688228024385,0.002918079235374905,51,35,60,29,11,14,0.775,0.0
962,433,0.0,0.0,-1,0,0.00034023152980218707,0.0010056372037786005,0.028189420417361506,0.031118517729615536,0.0,0.00046600803847618054,8.88314835736061e-06,0.0007463984922123112,0,12,0,11,0,0,0.202,0.0
455,816,0.08888888888888889,2.877479787626725,2,0,0.001920193681959023,0.000573020303965803,0.035491030074896415,0.02990566389662907,0.0017839919948434294,0.00022075780927280358,0.0015763646481218416,0.0005149484467348019,30,6,33,4,3,3,0.926,0.0
376,203,0.0,0.0,2,0,0.0011459294121752494,0.0012087523519697483,0.03246613479326908,0.034314662757177046,0.0011563834920278841,0.0,0.0010187603504652253,0.0021225877939686395,19,20,21,0,3,0,0.644,0.0
522,523,0.0,0.0,2,1,0.00034265590597734624,0.0007688623919433252,0.028383309186079224,0.029800060310495622,9.048477348847399e-05,0.00025405154552133767,6.698998705694637e-05,0.0002969748008193063,2,6,0,9,1,0,0.782,0.0
284,548,0.07547169811320754,2.5037299149280177,3,0,0.0012597648806687658,0.0005908364759923471,0.03378969082615866,0.030786834008792185,0.0014421790816408343,0.0015357696965978048,0.0012589170764694046,0.001193506741938474,24,9,26,18,0,3,0.253,0.0
936,993,0.0,0.0,-1,0,0.0004151527521363805,0.00019950526574374428,0.028749009662065426,0.02788899829926249,0.0003774679041008173,0.0,0.00015279911645254245,0.0,3,0,9,0,0,0,0.549,0.0
847,40,0.09090909090909091,3.7492657384362635,2,1,0.0010999185998680709,0.0016371491146703345,0.032059734589211096,0.03452006113529166,0.0006716595017694715,0.001267592967799083,0.0007989535734189949,0.001378538120085617,16,28,11,34,4,3,0.812,0.0
274,269,0.018867924528301886,0.577235974402372,2,1,0.0008679353630340169,0.0020463637566220582,0.03116449406640596,0.03833986070354366,0.00023502192265701137,0.0026731676821847047,0.0007822831463108499,0.0030631493835501563,13,44,5,40,5,1,0.885,0.0
936,290,0.09836065573770492,4.733290372199488,2,0,0.0004151527521363805,0.0016758136839152844,0.028749009662065426,0.03777629346339032,0.0003774679041008173,0.003142537955688765,0.00015279911645254245,0.0032587919438798753,3,31,9,37,0,2,0.619,0.0
931,210,0.05454545454545454,2.424560087568775,2,1,0.0004984638384492962,0.002101992705203108,0.02934021651418031,0.04026577585059245,0.00021630256753755206,0.0038935223638777486,0.00031601567306305625,0.004339997905142927,5,48,4,32,2,0,0.573,0.0
41,63,0.08208955223880597,5.523720353734414,2,1,0.0018237376251626367,0.00273229960679553,0.03783012587168582,0.04247314382416486,0.0035541268762338198,0.005224213656311343,0.003259556745317095,0.0042393688228024385,39,51,42,60,5,3,-0.292,0.0
370,339,0.16071428571428573,5.871075005726301,2,1,0.0007200271646677251,0.0009409302477583041,0.029882188095133336,0.03232970891168417,0.0009786242923902793,0.00158108866315483,0.0002721610380090521,0.0012014126156874255,9,17,12,33,1,5,0.964,0.0
35,26,0.21621621621621623,5.513264759495486,2,1,0.0015959068758379308,0.001050493041018171,0.035488865932551544,0.03212911617635091,0.0014225911269051157,0.000660574502464922,0.0022886342310387223,0.0007557071445396727,27,18,19,13,7,5,0.941,0.0
